Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
48,9.3,1.3,5.8,3.3,4.3,3.09,High
49,9.7,2.8,7.9,0.3,3.3,3.47,High
50,9.4,3,8.5,2.2,0.9,3.18,High
51,6.8,1.2,9,4.9,2.1,3.12,Medium
52,9,2.6,8.5,3.1,0.8,4,High
53,9.5,1.4,6.9,0.6,5.6,3.33,High
54,7.3,2.2,6.4,3.5,4.6,3.11,Medium
55,5.2,0.1,9.1,2.2,7.4,2.79,Low
56,8.8,0.9,8.1,Medium,5.7,3.1,High
57,5.3,2.1,7.7,3.8,5.1,2.39,Low
58,9,1.1,7.2,Medium,6.2,3.39,High
59,5.1,3.9,9.2,4,1.8,2.52,Low
60,5.8,1,7.7,4.3,5.2,2.8,Low
61,8.3,1.1,9.8,3.5,1.3,3.67,High
62,7.1,1,6.8,4.5,4.6,3.27,Medium
63,5.1,Medium,5.2,0.2,13,2.85,High
64,7.4,0.4,7.5,2.8,5.9,3.26,Medium
65,5.9,1.7,7,3.7,5.7,2.8,Low
66,6.9,2.5,7.5,5.1,2,3.06,Medium
67,8.3,0.7,5.4,3.9,5.7,3.26,High
68,9.7,2.3,6.9,3.3,1.8,3.38,High
69,7.3,2.2,9.7,1.9,2.9,3.15,Medium
70,5.4,1.3,9.2,0.1,8,2.69,Low
71,9.1,1.1,5.6,4.2,4,3.54,High
72,8.7,3.2,6.4,1,4.7,3.37,High
73,8.8,3.2,10,0.8,1.2,3.58,High
74,6.7,3.7,9.3,1.8,2.5,2.89,Medium
75,8.8,3,5.5,5.4,1.3,3.58,High
76,6.6,3.6,6.9,0.1,6.8,2.99,Medium
77,9.5,0.4,6.6,5.7,1.8,3.44,High
78,8.2,1.8,6.5,2,5.5,3.35,High
79,8.4,3,9,2.8,0.8,3.26,High
80,5.3,2.2,7.2,5.3,4,2.62,Low
81,6.8,Medium,5.7,4.6,6.4,2.86,High
82,5.4,2.8,5.4,4.9,5.5,2.86,High
83,8.5,0.3,5.4,5.9,3.9,2.99,High
84,9.1,3.8,9.9,0.9,0.3,3.08,High
85,6.9,0.3,8.9,3.4,4.5,3.21,Medium
86,5.6,2,5.1,2.8,8.5,2.81,High
87,5.3,Medium,5.6,3.9,8.7,2.9,High
88,9.8,1.5,6.4,5.2,1.1,3.78,High
89,6.1,3.9,5.1,5.8,3.1,2.96,High
90,5.4,2.2,9.8,3.1,3.5,2.81,Low
91,8.1,2.8,7.3,3.6,2.2,3.39,High
92,5.2,1.1,9.8,5.3,2.6,2.82,Low
93,7.3,2.5,6.4,1.1,6.7,2.67,Medium
94,7.9,0.3,9.9,5.8,0.1,3.08,Medium
95,8.5,2.1,6.5,4.9,2,3.1,High
96,9.6,3.3,9.7,1,0.4,3.54,High
97,8.1,1.7,9.7,3.9,0.6,3.45,High
98,9.9,0.6,8,2.1,3.4,3.39,High
99,9.8,3.4,9.2,0.7,0.9,3.15,High
100,5.3,3.5,9.1,6,0.1,2.68,Low
101,10,2.2,8.8,2.8,0.2,3.41,High
102,7.3,Medium,9.8,3.6,2.8,3.22,Medium
103,6.1,2.7,8.1,2.1,5,2.98,Medium
104,7.6,3.1,7.6,4.9,0.8,2.99,Medium
105,7.8,2.2,9.4,1.9,2.7,3.3,Medium
106,8.5,0.9,5.7,0.1,8.8,3.55,High
107,6.8,2.4,7,2.6,5.2,2.97,Medium
108,7.6,3.1,7,3.7,2.6,3.28,Medium
109,9.3,3.8,5.7,4.8,0.4,3.05,High
110,7.3,3.9,7.5,1.7,3.6,3.08,Medium
111,8.2,1,5.4,0.8,8.6,3.3,High
112,5.9,1.4,9.5,2.8,4.4,2.7,Low
113,8.3,0.7,6,0.2,8.8,3.14,High
114,5.9,0.4,5.6,2.8,9.3,2.73,High
115,6,1.5,7.5,4.1,4.9,2.76,Medium
116,9.4,3.7,5.3,1.6,4,3.45,High
117,9,3,5.9,1.3,4.8,3.29,High
118,8.1,1.5,7.3,4.5,2.6,2.75,High
119,5.2,1,8.6,5.4,3.8,3.4,Low
120,5.5,1.8,7.7,1.5,7.5,3.05,Low
121,6.3,1.5,5.1,1.9,9.2,2.82,High
122,5.6,3.6,8,4.1,2.7,2.62,Low
123,8.9,2,5.4,3.2,4.5,3.64,High
124,7.2,Medium,6.4,2.2,7.7,3.19,Medium
125,8.2,2.3,6.8,5.9,0.8,2.95,High
126,5.5,0.6,6.2,1,10.7,2.94,Low
127,5.9,1.1,5.9,5.4,5.7,2.89,High
128,7.1,3.9,5.6,2.4,5,2.9,High
129,9.8,3.5,9.1,0.4,1.2,3.57,High
130,9.6,2.2,7.9,1.2,3.1,3.24,High
131,8.8,0.7,6.6,2.6,5.3,2.99,High
132,5.6,2.4,6.4,3.5,6.1,2.85,Low
133,5.8,1.9,7.7,0.3,8.3,2.7,Low
134,5.3,4,6.6,4.9,3.2,2.72,Low
135,6.3,2.7,8.8,3.6,2.6,2.45,Medium
136,6.7,3.7,9.2,4.2,0.2,2.85,Medium
137,5.6,2.9,9.7,1.1,4.7,2.86,Low
138,7.9,3.4,5.7,4.8,2.2,3.15,High
139,6,0.7,5.8,4.9,6.6,2.96,High
140,6.8,3.5,7,4.9,1.8,3.44,Medium
141,7.2,1.5,7.3,1.8,6.2,3.08,Medium
142,6.2,3.6,6.9,3.3,4,3.27,Medium
143,9.5,2.5,5.6,5.6,0.8,3.13,High
144,5.7,3.2,8.1,3.2,3.8,3.08,Low
145,9.5,3.2,5.8,1.7,3.8,3.59,High
146,5.2,2.3,8.8,5.3,2.4,2.61,Low
147,6.7,3.3,5.6,5.1,3.3,2.95,High
148,9,0.6,6.1,4.3,4,3.15,High
149,8.6,2.6,8.5,2.3,2,3.14,High
150,5.9,3.6,7.9,2.4,4.2,2.64,Low
151,7.3,3.8,5.8,3.5,3.6,3.58,High
152,5.1,3.5,9.7,3.2,2.5,2.79,Low
153,8.5,3.7,8.5,Medium,2.8,3.65,High
154,7.1,2.9,9.7,4,0.3,3.33,Medium
155,7.3,Medium,9.9,5,1.3,3.11,Medium
156,8,1.6,5.3,2,7.1,3.42,High
157,9,0,6.7,2.4,5.9,3.51,High
158,6.7,1.4,8.7,2.7,4.5,3.02,Medium
159,6.1,1.8,5.7,1.1,9.3,2.38,High
160,9.6,1.4,7.9,3.2,1.9,3.43,High
161,5.1,2.7,5.9,5.8,4.5,2.71,High
162,5.4,4,7.5,3.6,3.5,2.59,Low
163,5.3,3,6,5.4,4.3,2.68,Low
164,5.2,1.9,7.8,0.4,8.7,2.67,Low
165,8.9,1.8,7.6,2.5,3.2,3.58,High
166,5.8,0.7,9.3,5.7,2.5,2.46,Low
167,6.9,1.1,8.2,2.5,5.3,3.22,Medium
168,5.1,0.9,6.2,4,7.8,3.02,Low
169,5.1,0.4,9,1.1,8.4,2.52,Low
170,5.5,1,8.6,5.1,3.8,2.97,Low
171,9.2,1.6,8.3,1,3.9,3.5,High
172,5.1,0.3,6,0.2,12.4,2.7,Low
173,5.9,2.3,7.1,5.4,3.3,2.78,Low
174,6.3,1.5,8,1.6,6.6,3.15,Medium
175,8.1,1.6,7.8,2.6,3.9,3.26,High
176,8.8,0.6,9.3,2.6,2.7,3.3,High
177,9.5,3.2,7.1,0.1,4.1,3.49,High
178,8.2,1,5.7,5,4.1,2.89,High
179,9.9,2.1,5.9,1.6,4.5,3.52,High
180,6.4,2.2,8.3,5,2.1,2.76,Medium
181,6,0,5.7,5.4,6.9,2.95,High
182,8,2.7,5.9,5.5,1.9,3.4,High
183,7.1,1.5,7.6,0.3,7.5,3.17,Medium
184,5.4,2.4,6.2,2.3,7.7,2.66,Low
185,6.4,1.4,8.6,1.8,5.8,2.77,Medium
186,8.3,3.7,8.7,0.7,2.6,3.77,High
187,5.2,1,8,0.3,9.5,3.29,Low
188,6.7,3.1,5.5,Medium,8.2,2.99,High
189,8.6,2,8.4,2.2,2.8,3.43,High
190,9,2.8,6.4,3.4,2.4,3.24,High
191,6.8,0.4,9.6,0.8,6.4,3.01,Medium
192,5.9,2.2,9.4,4.4,2.1,3.01,Low
193,9,2.6,8.5,3.3,0.6,3.34,High
194,6.1,4,9.7,0.2,4,2.58,Medium
195,8.5,3.7,5.9,3.4,2.5,3.06,High
196,9.6,3.9,9.7,0.4,0.4,3.65,High
197,9.3,3.4,6.6,3.9,0.8,3.41,High
198,6.2,Medium,5.4,4.2,7.7,2.84,High
199,6.7,2.9,5.3,1.9,7.2,3.29,High
200,6.6,2.5,9.4,3.4,2.1,3.03,Medium
201,6.2,0.1,9.4,0.1,8.2,2.95,Medium
202,9.7,3.2,10,0.4,0.7,3.67,High
203,8.8,1.6,7.4,3.8,2.4,3.23,High
204,7.1,3,6.2,0.7,7,3.36,Medium
205,6.8,1.1,6.5,1.4,8.2,3.01,Medium
206,6.9,2.7,6.1,5.7,2.6,3.08,Medium
207,8.9,0.4,7.1,5.3,2.3,3.33,High
208,8.1,0.7,10,1.2,4,3.35,High
209,9.7,2.6,8,1.9,1.8,3.33,High
210,6.1,0.7,8.9,2.1,6.2,2.81,Medium
211,5.3,3.9,9.4,5,0.4,3.08,Low
212,8.5,0.6,9.1,1.3,4.5,3.16,High
213,6.1,2.1,8,3.5,4.3,2.79,Medium
214,9.4,3.8,9.3,1.2,0.3,3.33,High
215,8.3,2.2,5.4,2.5,5.6,2.97,High
216,8.6,2,5.4,1.3,6.7,3.14,High
217,8.4,0.3,9.3,3,3,3.77,High
218,9.1,1.4,8.4,2.9,2.2,3.26,High
219,6.3,3.5,9,3.4,1.8,3.11,Medium
220,8.5,2.7,8.1,3.5,1.2,3.38,High
221,5.8,3.5,9.4,0.2,5.1,2.84,Low
222,6.7,3,5.8,4.9,3.6,3.03,High
223,9.2,2,5,1.7,6.1,3.42,High
224,8.2,1,8.2,3.2,3.4,3.24,High
225,8.9,0.4,8.8,3.2,2.7,3.32,High
226,8.2,3.7,5.5,5.6,1,3.29,High
227,8.4,0.3,6.5,4.2,4.6,3.29,High
228,6.7,2.5,5.2,5.2,4.4,2.86,High
229,9.9,3.9,8.7,0.2,1.3,3.8,High
230,8.4,1.8,6.4,6,1.4,3.25,High
231,7.1,1.8,5.8,4.8,4.5,2.86,High
232,5.4,2.7,8.3,1.6,6,2.95,Low
233,9.8,0.6,7.2,5.7,0.7,3.84,High
234,7,1.1,9.9,2.5,3.5,2.84,Medium
235,9.5,0.9,6.1,0.2,7.3,3.17,High
236,9.3,1.9,9.8,0.6,2.4,3.68,High
237,9.3,3.1,8.9,2.3,0.4,3.52,High
238,5.7,0.1,9.6,3.7,4.9,3.12,Low
239,9,1.9,5.6,0.8,6.7,3.21,High
240,6,2,5.3,3.5,7.2,3.26,High
241,6.3,3.2,6.6,2.7,5.2,2.85,Medium
242,8,1.2,8.5,5.2,1.1,2.72,Medium
243,8.9,0.2,7.4,0.6,6.9,3.33,High
244,8.1,2.8,7.8,0.1,5.2,2.98,High
245,6.6,2.1,5.4,2.1,7.8,2.79,High
246,7.8,2.8,9,0.9,3.5,3.11,Medium
247,5.8,0.4,8.2,4.2,5.4,2.88,Low
248,8.5,3.5,8.6,2.7,0.7,3.15,High
249,6.7,3.3,5.4,5.4,3.2,3.27,High
250,7.3,2.6,7.6,4.4,2.1,3.13,Medium
251,5.4,0.2,6.2,1,11.2,2.75,Low
252,9.9,1.3,5.9,4.7,2.2,3.57,High
253,8.3,2,7.8,4.2,1.7,3.25,High
254,6,2.7,5.4,0.2,9.7,2.92,High
255,6.3,1.9,9.3,4.4,2.1,2.85,Medium
256,6.7,1.5,9.9,0.2,5.7,3.32,Medium
257,9.3,2.3,7.2,3.8,1.4,3.61,High
258,9.5,1.7,6.4,3.6,2.8,3.42,High
259,9.6,0.8,8.1,3.5,2,3.31,High
260,8.6,3.6,5.9,1.4,4.5,3.37,High
261,9.9,0.7,9.3,2,2.1,3.59,High
262,7.2,2.1,6.8,3.6,4.3,3.01,Medium
263,5.8,1.6,9.8,1.5,5.3,2.61,Low
264,8.9,Medium,9.8,2.2,2.6,3.57,High
265,6.2,0.3,5.8,3.1,8.6,3.13,High
266,7.2,1,8.1,4.2,3.5,2.98,Medium
267,5.8,0.7,5.2,4.4,7.9,2.81,High
268,9.2,3.2,7.9,3.2,Medium,3.8,High
269,6,0.4,6.3,0.3,11,3.05,Medium
270,5.2,Medium,7.3,5.6,5.4,2.79,Low
271,6.6,2,5.2,0.9,9.3,3.17,High
272,7.3,2.1,7.4,4,3.2,3.16,Medium
273,5.7,0.1,6.5,4.2,7.5,2.98,Low
274,9.8,0.4,8.4,2.4,3,3.26,High
275,9.3,0.7,8.5,4.6,0.9,3.43,High
276,7.5,2.5,9.3,2.7,2,3.2,Medium
277,5.2,3.7,8.4,4.1,2.6,2.91,Low
278,7,2.6,5.5,3.9,5,2.82,High
279,10,0.2,9.9,1.6,2.3,3.56,High
280,7.8,3,9.4,1.5,2.3,3.25,Medium
281,6.6,2.7,9,4.3,1.4,2.93,Medium
282,9.1,Medium,7.7,0,6.7,3.64,High
283,6.6,1.5,7,4.2,4.7,2.79,Medium
284,6.2,1.5,6.1,0.4,9.8,2.5,Medium
285,8,2.7,8.1,2.4,2.8,3.4,Medium
286,7.6,1.9,5.1,2,7.4,3.08,High
287,6.9,1.6,7.9,3.2,4.4,3.31,Medium
288,9.1,2.9,9.8,0,2.2,3.48,High
289,6,0,8.2,5.4,4.4,2.92,Medium
290,5.3,3.7,6.8,0.6,7.6,2.78,Low
291,7.4,1,6.4,1.8,7.4,3.15,Medium
292,6.6,2.4,8.6,1.6,4.8,3.27,Medium
293,7.1,Medium,5.9,4.1,6.4,3.09,High
294,8.5,0.4,7.8,1.5,5.8,3.01,High
295,9.8,1.9,9,1.8,1.5,3.5,High
296,9.8,2.4,9.1,2.4,0.3,3.38,High
297,6.1,0.8,8.1,2.5,6.5,2.67,Medium
298,8.9,1.1,9.1,2.1,2.8,3.2,High
299,8.3,0.4,8.1,2.7,4.5,3.01,High
300,8.7,3.5,6.1,Medium,5.2,3.37,High
301,5.1,2.6,8,3.3,5,2.65,Low
302,8,2,9.9,0.6,3.5,2.93,Medium
303,8.5,1.6,7.1,4.3,2.5,3.39,High
304,6.4,0.3,5.4,5.4,6.5,3.29,High
305,6,1.3,6.1,2.1,8.5,2.91,Medium
306,5.3,3.2,6.2,3.2,6.1,2.64,Low
307,9.4,2.6,7.7,1.4,2.9,3.66,High
308,10,2.6,7.8,2.6,1,3.26,High
309,7.3,0.2,7.8,5.7,3,3.2,Medium
310,6,2.1,5.5,2.7,7.7,2.72,High
311,8.8,1.4,8.3,4.4,1.1,3.1,High
312,10,3.7,7.7,2.2,0.4,3.44,High
313,7.6,2.5,5.4,4.5,4,3.17,High
314,8.9,2.8,5.2,1.8,5.3,3.3,High
315,6.3,1.4,5.4,5.6,5.3,2.58,High
316,7,1.8,8,3.1,4.1,3.15,Medium
317,9.6,2,10,2,0.4,3.46,High
318,6.9,3.5,9.3,3.5,0.8,3.02,Medium
319,9,1.2,5.4,2.4,6,3.46,High
320,6.7,3.9,8.2,4.3,0.9,2.83,Medium
321,5.7,3.4,9.6,2.6,2.7,3.13,Low
322,5.9,2,7,0.9,8.2,3,Low
323,6.8,0.3,5.1,0.8,11,3.03,High
324,9.8,1.7,6.6,3,2.9,3.58,High
325,7.2,0.4,8.2,1.3,6.9,3.39,Medium
326,5.8,0.2,8.9,2.8,6.3,3.11,Low
327,5.3,4,5.3,4.2,5.2,2.67,High
328,8.5,0.2,7.5,6,1.8,3.21,High
329,9.1,2.5,6.5,3.7,2.2,2.85,High
330,5.7,3.5,7.2,1.2,6.4,3.04,Low
331,6.8,1.7,9.1,4.4,2,2.9,Medium
332,5.1,1,8.8,0.8,8.3,2.25,Low
333,7.7,0.9,5.1,1.4,8.9,3.15,High
334,5.5,2.2,7.3,5.1,3.9,2.94,Low
335,5.5,2,5.8,1.9,8.8,2.79,High
336,6.9,1.6,7.3,4.7,3.5,3.38,Medium
337,9.5,3.8,8.9,0.6,1.2,3.3,High
338,6.3,3.4,5.2,5.4,3.7,3.31,High
339,7.3,2.5,8.3,5.3,0.6,3.36,Medium
340,5.3,2.1,5.8,4.4,6.4,3.11,High
341,7.6,2.7,5.2,Medium,8,3.07,High
342,5.4,0,9.8,4.4,4.4,2.85,Low
343,6.8,1.2,6.7,4.6,4.7,2.81,Medium
344,5.9,0.4,8.3,4.6,4.8,2.99,Low
345,6.3,0.1,5.4,5.8,6.4,3.14,High
346,8.1,1.5,6,0.7,7.7,3.06,High
347,8.1,3.1,8.2,2.4,2.2,3.09,High
348,9.9,2.4,7.9,2.8,1,3.67,High
349,9.1,2.6,5.6,2,4.7,3.16,High
350,7.2,2.5,9.7,1.1,3.5,2.69,Medium
351,5.6,0.8,9.4,3.9,4.3,3.01,Low
352,9.3,3.4,9.6,0.4,1.3,3.28,High
353,8.8,1.8,9.2,3.1,1.1,3.45,High
354,5.9,2.2,9.9,5.6,0.4,3.12,Low
355,5.2,0.7,5.7,4.4,8,2.67,High
356,7.5,3.4,8.7,2.4,2,3.24,Medium
357,8,2,6.5,3.4,4.1,3.35,Medium
358,8.2,3,5.8,2.8,4.2,3.31,High
359,5,1,8.6,6,3.4,2.71,Low
360,9,0.8,7.8,4.4,2,3.18,High
361,8.1,0.8,6.8,4.7,3.6,3.19,High
362,8.8,0.1,8.7,1.2,5.2,3.32,High
363,9.8,1.5,6.6,0.9,5.2,3.61,High
364,10,1.5,7.2,3.8,1.5,3.43,High
365,9.4,2.4,7,2.1,3.1,3.1,High
366,9,0.4,7.9,2.9,3.8,3.6,High
367,8.2,0.3,7.9,3.4,4.2,3.64,High
368,8.4,3.2,6.3,5,1.1,3.5,High
369,7.5,0.3,5.3,2,8.9,3.26,High
370,8.9,2.1,7.2,0.9,4.9,3.53,High
371,6.6,1.7,5.4,1.3,9,3.29,High
372,10,3.7,8.2,0.9,1.2,3.63,High
373,8.2,3.1,5.6,2.5,4.6,3.16,High
374,7.9,2.4,5.9,2.2,5.6,3.4,High
375,6.7,0.1,5.1,5,7.1,3.03,High
376,6.5,3.8,6.3,2.6,4.8,2.62,Medium
377,9.4,3.4,5.9,4.3,1,3.18,High
378,5.7,0.3,8.6,3,6.4,2.28,Low
379,7.2,2.9,8.8,0.8,4.3,2.88,Medium
380,8.8,2.6,9.8,0.2,2.6,3.38,High
381,5.3,1.1,6.3,1.5,9.8,2.75,Low
382,6.4,3,7.2,4.7,2.7,3.03,Medium
383,5.3,2,5.2,0.4,11.1,2.31,High
384,6.7,3.6,5.1,4,4.6,3.18,High
385,9.8,2.2,9.7,0.1,2.2,3.16,High
386,8.7,3.9,6.3,3.3,1.8,3.2,High
387,6,2.3,7.3,5.8,2.6,2.58,Medium
388,5.6,0.6,6.1,1.5,10.2,3.07,Low
389,9.3,2.2,7.6,0.6,4.3,3.48,High
390,5.3,2.8,7.7,Medium,7.7,2.93,Low
391,7.3,1.9,5.8,5.7,3.3,3.18,High
392,7.3,1.6,8.3,3.3,3.5,3.28,Medium
393,5.3,2.1,9,2.8,4.8,2.67,Low
394,5.8,1.3,8.8,3.1,5,2.71,Low
395,6,3.5,9.4,4.4,0.7,2.84,Medium
396,9.9,3.1,5.1,0.4,5.5,3.17,High
397,7.3,3.6,7.7,2.7,2.7,3.15,Medium
398,9.1,1.5,8.9,4.3,0.2,3.21,High
399,6,2.1,6.4,4.8,4.7,3.27,Medium
400,9,1.6,9.6,2,1.8,3.57,High
401,5.8,2.8,9,1.9,4.5,2.8,Low
402,5.9,3.6,8.3,0.9,5.3,2.8,Low
403,7.2,2.5,5.4,5.3,3.6,3.08,High
404,9.8,1.7,9.9,1.7,0.9,3.75,High
405,8.2,0.7,9.4,2.4,3.3,3.47,High
406,8.6,3.6,5.4,4.4,2,3.81,High
407,5.9,3.4,9.1,3,2.6,2.68,Low
408,7.4,3.3,7.3,2.1,3.9,3.34,Medium
409,7.5,3.3,6.7,1,5.5,3.29,Medium
410,5.5,1,5.7,2.1,9.7,2.93,High
411,7.3,3,8.3,3.4,2,3.29,Medium
412,7.4,3.9,8.2,0.6,3.9,3.02,Medium
413,8.4,1.3,8.4,0.4,5.5,3.32,High
414,6.1,3.3,6.4,3.9,4.3,2.86,Medium
415,8.5,2.1,6.5,1.3,5.6,3.38,High
416,9.4,3.1,8.9,1.7,0.9,3.45,High
417,6.3,3.6,8.4,3.2,2.5,2.92,Medium
418,7.3,3.5,7.7,2.1,3.4,2.9,Medium
419,9.9,0.4,7.1,0.3,6.3,3.55,High
420,6.4,3.4,6.5,5.5,2.2,3,Medium
421,8.8,3.2,5.1,5.8,1.1,3.13,High
422,9.1,1.1,9.4,Medium,3.9,3.58,High
423,8.5,2.2,5.5,1.5,6.3,3.27,High
424,6.5,2.4,6.5,1.8,6.8,2.91,Medium
425,8.7,0.2,9.5,4.8,0.8,3.5,High
426,9.5,0.7,5.4,1.4,7,3.77,High
427,9,0.1,7.9,6,1,3.36,High
428,5.3,3.3,8,0.7,6.7,3.03,Low
429,5.5,3.6,8.3,5,1.6,2.86,Low
430,7.6,1.7,6.6,2.6,5.5,3.34,Medium
431,8.9,2.4,9.5,1.4,1.8,3.66,High
432,8,2.8,6.2,3.1,3.9,3.46,Medium
433,5.5,1.5,7.4,3.9,5.7,2.85,Low
434,8.7,2,8.2,0.4,4.7,3.42,High
435,6.3,1.4,7.4,0.3,8.6,2.86,Medium
436,9.9,1.3,7.4,1.1,4.3,3.35,High
437,8.1,1.1,6,3.1,5.7,3.15,High
438,9,2.3,7.6,1.5,3.6,3.2,High
439,9.7,1.6,5.4,3.7,3.6,3.39,High
440,7.5,3.5,7.5,3.9,1.6,2.97,Medium
441,10,Medium,6.4,2.4,4.7,3.14,High
442,9.5,2.9,8,1.1,2.5,3.11,High
443,9.1,3.8,9.1,0,2,3.27,High
444,6.3,0.2,8,4.1,5.4,2.97,Medium
445,5.6,1.5,7.3,2.2,7.4,2.8,Low
446,8.8,0.3,5.4,2.1,7.4,3.12,High
447,9.7,2.7,8.4,1.2,2,3.44,High
448,8.2,3.7,8.1,3.5,Medium,3.23,High
449,8.6,Medium,9.5,0.4,5,3.06,High
450,5.1,1.7,6.5,2.9,7.8,2.79,Low
451,7.9,0.2,5.6,3.4,6.9,3.44,High
452,8.3,3.4,8.5,1.6,2.2,3.07,High
453,8.4,1.1,6.5,4.7,3.3,3.54,High
454,9.1,3.4,9.6,0.8,1.1,3.31,High
455,6.6,2.3,6.9,3.6,4.6,3.2,Medium
456,6.9,0.7,7.2,0.9,8.3,3.26,Medium
457,9.5,1.4,5.8,0.2,7.1,3.69,High
458,6.7,0.3,7,1.9,8.1,3.28,Medium
459,8.4,2.4,6.8,1.3,5.1,3.25,High
460,8.4,0.6,7.4,0.2,7.4,3.32,High
461,7.5,3.9,6.9,0.2,5.5,3.11,Medium
462,5.8,0.1,8.8,2.8,6.5,2.8,Low
463,6.4,3.6,5.6,5.7,2.7,3.1,High
464,8,3.3,9.9,0.8,2,3.13,Medium
465,9.8,1.6,6.9,1.9,3.8,3.23,High
466,7.8,2.2,8.8,4.3,0.9,3.2,Medium
467,7.2,1.2,6.3,1.2,8.1,3.05,Medium
468,6.4,3.9,7.8,2,3.9,2.87,Medium
469,7.9,0.6,7.2,3.8,4.5,2.68,Medium
470,10,3.5,8.1,1.4,1,3.44,High
471,8.1,0.8,7,0.2,7.9,3.74,High
472,6.1,3.9,9.5,3.2,1.3,2.61,Medium
473,7.7,3.5,5.7,4.7,2.4,3.21,High
474,6.4,3.5,9.7,0.7,3.7,2.89,Medium
475,7.3,3.9,7.4,4.7,0.7,2.74,Medium
476,6.4,0.8,8.8,2.3,5.7,3.21,Medium
477,7.6,2,7.9,5.2,1.3,3.13,Medium
478,9.1,3.1,7.9,3.7,0.2,3.42,High
479,6,0.4,9.3,2.6,5.7,3.02,Medium
480,8.1,3.7,5.1,2.9,4.2,2.63,High
481,8.4,2.9,8.5,0.6,3.6,3.07,High
482,9,1.1,6.1,5.7,2.1,3.07,High
483,5,4,8.4,5,1.6,2.9,Low
484,8.7,0.6,8.8,4.5,1.4,3.41,High
485,8.3,3.1,9.2,2.1,1.3,3.24,High
486,5.4,1.6,7,0.4,9.6,2.63,Low
487,6.7,0.4,9,5.7,2.2,2.63,Medium
488,5.4,2,9,4.2,3.4,2.85,Low
489,5.3,0.3,7,1.8,9.6,2.64,Low
490,9,3.7,7,3.9,0.4,3.16,High
491,6.6,1.9,6.1,3.8,5.6,3,Medium
492,6.8,2.6,5.6,5.3,3.7,3.08,High
493,7.5,1.8,7.9,3.7,3.1,3.17,Medium
494,6.2,2.9,9.1,4.7,1.1,2.83,Medium
495,7.8,2.1,5.7,4.7,3.7,3.16,High
496,6.4,Medium,8.1,0.3,8.7,2.61,Medium
497,8.7,1.3,5,3.1,5.9,3.24,High
498,9.2,0,6.2,4.4,4.2,3.41,High
499,6.6,0.4,6.8,1.6,8.6,2.89,Medium
